"ISO3","YEAR","u5_frac"
"SLV",2015,0.0960814075601725
"SLV",2020,0.092523014951926
"SLV",2025,0.0866882640119025
"SLV",2030,0.0791467650610534
"SOM",2010,0.178705591503131
"SOM",2015,0.168757168928952
"SOM",2020,0.15685019990141
"SOM",2025,0.150450450897667
"SOM",2030,0.145170588731856
"SRB",2010,0.0573218622713653
"SRB",2015,0.0480400895239814
"SRB",2020,0.0457178333392168
"SRB",2025,0.0443974084342253
"SRB",2030,0.0438124046666026
"STP",2010,0.142013348337237
"STP",2015,0.129197169203904
"STP",2020,0.117587417850489
"STP",2025,0.110249392746703
"STP",2030,0.104604331748163
"SUR",2010,0.0906209257466127
"SUR",2015,0.0851211487766253
"SUR",2020,0.0812463751663922
"SUR",2025,0.0776755705956765
"SUR",2030,0.0744331760110408
"SVK",2010,0.0505106168503469
"SVK",2015,0.053942619003361
"SVK",2020,0.0511726516434624
"SVK",2025,0.0474415019967461
"SVK",2030,0.043117464473923
"SVN",2010,0.0489574711284538
"SVN",2015,0.0527551834560269
"SVN",2020,0.0499342565786245
"SVN",2025,0.0465769401766753
"SVN",2030,0.0438720266484466
"SWE",2010,0.0594290768625017
"SWE",2015,0.0612187712780705
"SWE",2020,0.0623921947568506
"SWE",2025,0.0607261584270697
"SWE",2030,0.0567361680392052
"SWZ",2010,0.132131197852378
"SWZ",2015,0.124993967232985
"SWZ",2020,0.117065046365326
"SWZ",2025,0.110447127762684
"SWZ",2030,0.10238648787961
"SYR",2010,0.122169866000059
"SYR",2015,0.101413244754754
"SYR",2020,0.0977723019417466
"SYR",2025,0.093385040472459
"SYR",2030,0.0875641817748131
